행정구역,2026년02월_계_총인구수,2026년02월_계_연령구간인구수,2026년02월_계_0~9세,2026년02월_계_10~19세,2026년02월_계_20~29세,2026년02월_계_30~39세,2026년02월_계_40~49세,2026년02월_계_50~59세,2026년02월_계_60~69세,2026년02월_계_70~79세,2026년02월_계_80~89세,2026년02월_계_90~99세,2026년02월_계_100세 이상
서울특별시 용산구 서빙고동(1117069000),"12,154","12,154",613,"1,314","1,413","1,410","2,041","2,038","1,745",899,523,150,8
서울특별시 용산구 보광동(1117070000),"6,379","6,379",142,320,669,961,858,"1,132","1,225",697,315,60,0
서울특별시 성동구 (1120000000),"274,854","274,854","15,592","17,242","37,653","48,267","39,608","42,822","38,505","22,606","10,917","1,611",31
서울특별시 성동구 왕십리제2동(1120052000),"15,684","15,684",917,"1,003","1,955","2,962","2,238","2,462","2,198","1,291",576,81,1
서울특별시 성동구 왕십리도선동(1120053500),"25,490","25,490","1,783","1,636","3,496","4,412","3,820","4,041","3,330","1,857",958,156,1
서울특별시 성동구 마장동(1120054000),"21,506","21,506",865,"1,336","4,034","3,467","2,449","3,230","3,088","1,960",926,150,1
서울특별시 성동구 사근동(1120055000),"11,955","11,955",247,789,"4,883","1,598","1,004","1,266","1,015",677,438,38,0
서울특별시 성동구 행당제1동(1120056000),"15,618","15,618",957,"1,084","2,219","2,872","2,329","2,433","1,963","1,100",573,85,3
서울특별시 성동구 행당제2동(1120057000),"22,317","22,317","1,483","1,765","2,334","3,495","3,337","3,853","3,034","1,914",947,150,5
서울특별시 성동구 응봉동(1120058000),"14,396","14,396",904,"1,342","1,489","2,112","2,385","2,489","1,788","1,168",632,87,0
서울특별시 성동구 금호1가동(1120059000),"14,280","14,280",946,997,"1,333","2,252","2,426","2,216","2,078","1,339",583,107,3
서울특별시 성동구 금호2.3가동(1120061500),"20,512","20,512","1,325","1,143","2,069","3,733","3,257","3,240","2,915","1,816",883,126,5
서울특별시 성동구 금호4가동(1120062000),"13,803","13,803","1,040",899,"1,120","2,422","2,398","2,082","1,909","1,241",592,97,3
서울특별시 성동구 옥수동(1120064500),"25,157","25,157","2,166","1,645","2,174","4,548","4,369","3,702","3,411","1,999",969,170,4
서울특별시 성동구 성수1가제1동(1120065000),"14,865","14,865",741,782,"1,906","2,863","1,937","2,533","2,454","1,129",456,63,1
서울특별시 성동구 성수1가제2동(1120066000),"14,100","14,100",783,788,"1,824","2,921","2,100","2,190","1,928","1,045",465,56,0
서울특별시 성동구 성수2가제1동(1120067000),"13,601","13,601",469,637,"1,549","2,271","1,716","2,270","2,705","1,345",563,76,0
서울특별시 성동구 성수2가제3동(1120069000),"9,424","9,424",332,455,"1,390","1,827","1,221","1,461","1,398",840,439,60,1
서울특별시 성동구 송정동(1120072000),"9,074","9,074",294,424,"1,219","1,592","1,205","1,483","1,612",863,340,40,2
서울특별시 성동구 용답동(1120079000),"13,072","13,072",340,517,"2,659","2,920","1,417","1,871","1,679","1,022",577,69,1
서울특별시 광진구 (1121500000),"331,095","331,095","13,416","22,854","54,624","56,682","45,982","51,100","45,854","26,863","11,839","1,834",47
서울특별시 광진구 화양동(1121571000),"22,806","22,806",268,698,"9,816","4,897","1,924","1,901","1,543","1,151",543,63,2
서울특별시 광진구 군자동(1121573000),"18,460","18,460",512,913,"3,991","3,417","2,356","2,435","2,485","1,518",733,97,3
서울특별시 광진구 중곡제1동(1121574000),"14,843","14,843",432,628,"2,440","3,159","1,866","2,175","2,208","1,267",591,76,1
서울특별시 광진구 중곡제2동(1121575000),"19,755","19,755",605,"1,168","2,966","3,584","2,579","3,143","3,107","1,789",723,90,1
서울특별시 광진구 중곡제3동(1121576000),"15,131","15,131",494,728,"2,032","2,773","1,852","2,433","2,569","1,505",670,74,1
서울특별시 광진구 중곡제4동(1121577000),"26,857","26,857",798,"1,514","3,441","4,132","3,257","4,715","4,878","2,815","1,159",143,5
서울특별시 광진구 능동(1121578000),"10,752","10,752",345,494,"2,060","2,397","1,537","1,419","1,231",836,390,43,0
서울특별시 광진구 광장동(1121581000),"32,977","32,977","2,356","4,979","3,497","3,278","6,422","5,858","3,629","1,866",886,202,4
서울특별시 광진구 자양제1동(1121582000),"21,537","21,537",578,"1,254","3,653","3,996","2,914","3,331","3,071","1,783",839,115,3
서울특별시 광진구 자양제2동(1121583000),"26,325","26,325","1,549","1,825","3,339","4,913","3,835","4,067","3,646","2,178",844,127,2
서울특별시 광진구 자양제3동(1121584000),"26,638","26,638","1,691","2,300","3,263","3,800","4,072","4,342","3,828","2,134",965,233,10
서울특별시 광진구 자양제4동(1121584700),"19,866","19,866",649,841,"3,040","3,811","2,449","3,027","3,110","1,985",807,144,3
서울특별시 광진구 구의제1동(1121585000),"22,830","22,830",674,"1,195","4,430","4,640","3,056","3,433","2,921","1,617",749,109,6
서울특별시 광진구 구의제2동(1121586000),"24,787","24,787","1,039","1,961","3,016","3,474","3,659","4,343","3,837","2,307",997,151,3
서울특별시 광진구 구의제3동(1121587000),"27,531","27,531","1,426","2,356","3,640","4,411","4,204","4,478","3,791","2,112",943,167,3
서울특별시 동대문구 (1123000000),"350,393","350,393","17,776","23,267","55,434","55,028","48,207","52,859","48,909","31,537","15,152","2,172",52
서울특별시 동대문구 신설동(1123051500),"16,322","16,322",776,825,"3,050","3,486","2,261","2,299","1,932","1,095",522,75,1
서울특별시 동대문구 용두동(1123053300),"22,647","22,647",930,"1,089","3,727","3,909","3,166","3,495","3,150","2,017","1,003",157,4
서울특별시 동대문구 제기동(1123054500),"22,197","22,197",666,"1,106","4,181","3,119","2,355","3,257","3,477","2,507","1,337",188,4
서울특별시 동대문구 전농제1동(1123056000),"32,249","32,249","1,753","2,156","4,585","4,788","4,565","5,286","4,682","2,821","1,388",218,7
서울특별시 동대문구 전농제2동(1123057000),"17,261","17,261",858,"1,391","1,779","2,189","2,336","2,989","2,865","1,800",932,118,4
서울특별시 동대문구 답십리제1동(1123060000),"27,207","27,207","1,933","1,938","3,479","4,915","4,505","3,871","3,471","2,004",942,147,2
서울특별시 동대문구 답십리제2동(1123061000),"27,265","27,265","1,488","1,589","2,843","4,505","3,628","4,349","4,454","2,846","1,379",181,3
서울특별시 동대문구 장안제1동(1123065000),"37,017","37,017","1,703","2,456","4,630","5,928","5,746","5,713","5,665","3,574","1,416",181,5
서울특별시 동대문구 장안제2동(1123066000),"32,802","32,802","2,264","2,870","3,530","4,874","5,583","5,071","4,485","2,860","1,127",136,2
서울특별시 동대문구 청량리동(1123070500),"17,849","17,849",484,824,"1,941","2,101","1,945","2,774","3,631","2,617","1,287",239,6
서울특별시 동대문구 회기동(1123071000),"10,187","10,187",270,712,"3,411","1,489","1,043","1,186",915,667,420,72,2
서울특별시 동대문구 휘경제1동(1123072000),"16,715","16,715",964,955,"3,886","3,220","2,024","2,175","1,688","1,126",593,81,3
서울특별시 동대문구 휘경제2동(1123073000),"23,531","23,531",813,"1,863","5,448","3,087","2,816","3,361","2,995","2,087",927,131,3
서울특별시 동대문구 이문제1동(1123074000),"29,193","29,193","2,019","2,134","6,590","5,156","3,899","3,939","2,791","1,618",910,135,2
서울특별시 동대문구 이문제2동(1123075000),"17,951","17,951",855,"1,359","2,354","2,262","2,335","3,094","2,708","1,898",969,113,4
서울특별시 중랑구 (1126000000),"376,884","376,884","16,390","23,122","44,832","58,737","50,587","61,636","64,299","38,490","16,417","2,314",60
서울특별시 중랑구 면목제2동(1126052000),"22,929","22,929",790,"1,276","2,477","3,351","3,026","4,002","4,338","2,413","1,098",153,5
서울특별시 중랑구 면목제4동(1126054000),"17,493","17,493",682,"1,035","1,911","2,443","2,420","3,067","2,964","2,005",876,86,4
서울특별시 중랑구 면목제5동(1126055000),"13,962","13,962",982,935,"1,360","2,122","2,310","2,296","2,165","1,241",493,57,1
서울특별시 중랑구 면목본동(1126056500),"31,611","31,611",902,"1,484","4,127","5,333","4,001","5,485","5,475","3,212","1,416",173,3
서울특별시 중랑구 면목제7동(1126057000),"20,542","20,542",851,"1,006","2,326","3,250","2,633","3,407","3,669","2,338",909,151,2
서울특별시 중랑구 면목제3.8동(1126057500),"23,421","23,421",748,"1,113","2,859","3,474","2,881","4,052","4,370","2,659","1,115",147,3
서울특별시 중랑구 상봉제1동(1126058000),"22,813","22,813","1,278","1,651","2,684","3,495","3,089","3,654","3,955","1,985",902,118,2
서울특별시 중랑구 상봉제2동(1126059000),"21,554","21,554",649,681,"4,371","5,347","2,508","2,814","2,772","1,638",676,94,4
서울특별시 중랑구 중화제1동(1126060000),"17,818","17,818",711,"1,076","1,943","2,984","2,329","2,740","3,181","1,975",786,89,4
서울특별시 중랑구 중화제2동(1126061000),"25,604","25,604",995,"1,049","3,096","4,180","3,277","4,247","4,687","2,707","1,204",161,1
서울특별시 중랑구 묵제1동(1126062000),"32,914","32,914","1,431","2,812","4,317","4,420","4,784","5,506","4,944","3,169","1,343",186,2
서울특별시 중랑구 묵제2동(1126063000),"17,572","17,572",644,952,"2,216","2,582","2,319","2,970","2,984","1,953",834,117,1
서울특별시 중랑구 망우본동(1126065500),"37,969","37,969","2,535","2,327","3,992","6,475","5,534","5,626","6,177","3,601","1,462",233,7
서울특별시 중랑구 망우제3동(1126066000),"15,180","15,180",448,782,"1,633","2,011","1,760","2,787","3,068","1,810",752,128,1
서울특별시 중랑구 신내1동(1126068000),"36,571","36,571","1,872","3,650","3,724","4,499","5,143","5,889","6,250","3,636","1,628",268,12
서울특별시 중랑구 신내2동(1126069000),"18,931","18,931",872,"1,293","1,796","2,771","2,573","3,094","3,300","2,148",923,153,8
서울특별시 성북구 (1129000000),"422,542","422,542","21,236","34,185","62,357","56,734","59,496","70,822","58,667","37,564","18,586","2,826",69
서울특별시 성북구 성북동(1129052500),"15,520","15,520",523,963,"2,334","2,537","2,012","2,655","2,176","1,365",800,147,8
서울특별시 성북구 삼선동(1129055500),"21,603","21,603",670,"1,467","4,022","2,989","2,707","3,771","2,883","1,851","1,097",141,5
서울특별시 성북구 동선동(1129057500),"14,843","14,843",327,877,"4,644","2,400","1,660","1,853","1,460",950,575,92,5
서울특별시 성북구 돈암제1동(1129058000),"13,722","13,722",592,961,"1,665","1,823","1,686","2,456","2,274","1,452",699,113,1
서울특별시 성북구 돈암제2동(1129059000),"22,917","22,917","1,473","2,457","2,525","2,701","3,597","4,252","3,157","1,738",825,187,5
서울특별시 성북구 안암동(1129060000),"15,539","15,539",333,842,"5,816","2,142","1,365","1,866","1,526",978,572,98,1
서울특별시 성북구 보문동(1129061000),"15,733","15,733",808,957,"2,361","2,731","2,202","2,647","2,107","1,222",598,98,2
서울특별시 성북구 정릉제1동(1129062000),"17,534","17,534","1,047","1,629","2,128","2,247","2,663","2,989","2,330","1,595",790,116,0
서울특별시 성북구 정릉제2동(1129063000),"21,574","21,574","1,015","1,481","2,713","2,849","2,876","3,738","3,426","2,223","1,080",168,5
서울특별시 성북구 정릉제3동(1129064000),"13,783","13,783",335,850,"3,363","1,620","1,333","1,950","2,007","1,443",761,121,0
서울특별시 성북구 정릉제4동(1129065000),"23,527","23,527",992,"1,767","2,932","2,777","3,180","4,260","3,718","2,505","1,213",174,9
서울특별시 성북구 길음제1동(1129066000),"35,420","35,420","2,632","5,193","3,445","3,767","6,832","6,396","3,466","2,367","1,167",154,1
서울특별시 성북구 길음제2동(1129068500),"21,337","21,337","1,764","2,115","2,454","2,778","3,684","3,713","2,540","1,555",626,105,3
서울특별시 성북구 종암동(1129070500),"36,777","36,777","1,756","3,153","5,237","4,595","5,168","6,181","5,291","3,270","1,777",341,8
서울특별시 성북구 월곡제1동(1129071500),"24,556","24,556","1,364","2,272","2,538","3,046","3,737","4,233","3,619","2,418","1,194",130,5
서울특별시 성북구 월곡제2동(1129072500),"18,396","18,396",672,"1,246","3,245","2,633","2,247","2,835","2,647","1,811",907,150,3
서울특별시 성북구 장위제1동(1129076000),"22,663","22,663","1,200","1,675","2,675","3,097","3,220","3,983","3,697","2,064",938,114,0
서울특별시 성북구 장위제2동(1129077000),"15,663","15,663",701,866,"1,912","2,574","2,007","2,600","2,412","1,717",757,115,2
서울특별시 성북구 장위제3동(1129078000),"18,654","18,654","1,641","1,545","2,154","2,789","3,134","3,077","2,426","1,324",489,74,1
서울특별시 성북구 석관동(1129081000),"32,781","32,781","1,391","1,869","4,194","4,639","4,186","5,367","5,505","3,716","1,721",188,5
서울특별시 강북구 (1130500000),"278,786","278,786","9,500","17,872","33,911","34,264","36,075","48,625","47,673","32,605","16,130","2,087",44
서울특별시 강북구 삼양동(1130553400),"24,436","24,436","1,002","1,702","2,847","2,976","3,245","4,429","4,172","2,667","1,230",164,2
서울특별시 강북구 미아동(1130553500),"20,206","20,206",416,"1,022","3,225","2,697","2,339","3,333","3,586","2,295","1,150",140,3
서울특별시 강북구 송중동(1130554500),"27,311","27,311","1,020","1,713","3,343","3,526","3,630","4,759","4,700","3,029","1,418",172,1
서울특별시 강북구 송천동(1130555500),"22,419","22,419",663,"1,193","2,367","2,713","2,798","3,939","4,351","2,913","1,332",145,5
서울특별시 강북구 삼각산동(1130557500),"29,870","29,870","1,926","3,536","3,127","3,127","5,010","5,718","3,745","2,416","1,105",158,2
서울특별시 강북구 번1동(1130559500),"16,010","16,010",391,734,"2,627","2,363","2,138","2,624","2,525","1,709",791,104,4
서울특별시 강북구 번2동(1130560300),"14,255","14,255",371,753,"1,495","1,575","1,733","2,422","2,653","2,062","1,066",120,5
서울특별시 강북구 번3동(1130560800),"15,489","15,489",549,988,"1,417","1,589","1,708","2,672","2,709","2,383","1,331",142,1
서울특별시 강북구 수유1동(1130561500),"19,277","19,277",575,"1,138","2,470","2,582","2,410","3,165","3,445","2,265","1,067",158,2
서울특별시 강북구 수유2동(1130562500),"19,864","19,864",669,"1,121","2,279","2,248","2,371","3,548","3,576","2,502","1,356",189,5
서울특별시 강북구 수유3동(1130563500),"22,363","22,363",423,921,"3,732","3,389","2,692","3,819","3,679","2,388","1,176",142,2
서울특별시 강북구 우이동(1130564500),"19,307","19,307",634,"1,239","2,019","2,219","2,442","3,421","3,386","2,409","1,345",190,3
서울특별시 강북구 인수동(1130566000),"27,979","27,979",861,"1,812","2,963","3,260","3,559","4,776","5,146","3,567","1,763",263,9
서울특별시 도봉구 (1132000000),"299,295","299,295","11,649","21,105","32,983","37,082","39,446","51,857","53,213","33,602","15,894","2,392",72
서울특별시 도봉구 창제1동(1132051100),"23,169","23,169",939,"1,763","2,607","3,130","3,250","4,061","3,709","2,347","1,193",164,6
서울특별시 도봉구 창제2동(1132051200),"27,524","27,524","1,065","1,846","3,282","3,794","3,710","4,786","4,680","2,837","1,351",170,3
서울특별시 도봉구 창제3동(1132051300),"12,679","12,679",386,869,"1,297","1,412","1,684","2,362","2,340","1,488",747,89,5
서울특별시 도봉구 창제4동(1132051400),"25,942","25,942","1,263","2,143","3,181","3,621","3,590","4,579","4,130","2,193","1,038",200,4
서울특별시 도봉구 창제5동(1132051500),"23,272","23,272",997,"1,600","2,838","3,358","3,033","3,959","3,928","2,309","1,054",189,7
서울특별시 도봉구 도봉제1동(1132052100),"19,398","19,398",445,967,"1,785","1,993","2,223","3,349","3,907","3,022","1,506",196,5
서울특별시 도봉구 도봉제2동(1132052200),"25,429","25,429","1,209","1,358","2,336","3,198","3,306","4,003","4,711","3,524","1,550",224,10
서울특별시 도봉구 쌍문제1동(1132066000),"20,472","20,472",741,"1,391","2,520","2,344","2,549","3,599","3,555","2,352","1,249",166,6
서울특별시 도봉구 쌍문제2동(1132067000),"17,318","17,318",611,"1,070","1,855","2,224","2,289","2,995","3,161","2,026",912,171,4
서울특별시 도봉구 쌍문제3동(1132068000),"15,900","15,900",540,858,"2,055","2,275","2,121","2,612","2,670","1,756",916,94,3
서울특별시 도봉구 쌍문제4동(1132068100),"17,597","17,597",798,"1,711","1,860","2,042","2,491","3,069","3,111","1,674",709,131,1
서울특별시 도봉구 방학제1동(1132069000),"27,644","27,644",958,"2,022","3,144","3,093","3,632","4,985","5,075","3,126","1,401",201,7
서울특별시 도봉구 방학제2동(1132070000),"17,592","17,592",493,"1,055","1,787","1,867","2,105","3,253","3,504","2,253","1,143",131,1
서울특별시 도봉구 방학제3동(1132071000),"25,359","25,359","1,204","2,452","2,436","2,731","3,463","4,245","4,732","2,695","1,125",266,10
서울특별시 노원구 (1135000000),"482,293","482,293","22,719","43,908","60,296","60,931","68,772","83,654","72,414","45,358","20,663","3,493",85
서울특별시 노원구 월계1동(1135056000),"20,063","20,063",735,"1,384","3,566","2,385","2,548","3,217","3,001","2,137",973,113,4
서울특별시 노원구 월계2동(1135057000),"24,725","24,725","1,106","1,857","2,448","2,659","3,491","4,194","4,335","3,114","1,296",220,5
서울특별시 노원구 월계3동(1135058000),"27,758","27,758","1,504","1,701","2,742","4,393","3,796","4,367","4,431","3,173","1,418",228,5
서울특별시 노원구 공릉1동(1135059500),"35,202","35,202","1,208","2,329","6,362","4,865","4,593","5,289","5,385","3,514","1,456",197,4
